BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,YEAR,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,NTA,OWNER_RICHNESS,BIN_POPULARNESS,LTFRONT_WAS_NAN,LTDEPTH_WAS_NAN,STORIES_WAS_NAN,EXLAND_WAS_NAN,EXTOT_WAS_NAN,BLDFRONT_WAS_NAN,BLDDEPTH_WAS_NAN,AVLAND2_WAS_NAN,AVTOT2_WAS_NAN,EXLAND2_WAS_NAN,EXTOT2_WAS_NAN,Latitude_WAS_NAN,Longitude_WAS_NAN
RK,4,45.83709694359836,106.55358316896779,nan_val,6.0,3463000,118035,1558350,98540.41012852485,335868.59502753214,nan_val,38.35627666741522,58.19472798653954,118035.0,1469160.0,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.719232,-74.008095,101.0 category,1.0 category,33.0 category,SoHo-TriBeCa-Civic Center-Little Italy,poor,not popular,1,1,0,1,1,1,1,0,0,1,1,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,23.0,247784,17301,111503,17301.0,111503.0,6800.0,38.35627666741522,58.19472798653954,17301.0,100640.0,17301.0,100640.0,2018/19,MANHATTAN,40.70927,-74.016487,101.0 category,1.0 category,31704.0 category,Battery Park City-Lower Manhattan,poor,very popular,1,1,0,0,0,1,1,0,0,0,0,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,25.0,173338,11304,78002,98540.41012852485,335868.59502753214,nan_val,128.0,172.0,11304.0,67154.0,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.708006,-74.006164,101.0 category,1.0 category,1502.0 category,Battery Park City-Lower Manhattan,poor,very popular,1,1,0,1,1,0,0,0,0,1,1,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,27.0,184550,14081,83048,14081.0,83048.0,6800.0,38.35627666741522,58.19472798653954,14081.0,76467.0,14081.0,76467.0,2018/19,MANHATTAN,40.709506,-74.018002,101.0 category,1.0 category,31704.0 category,Battery Park City-Lower Manhattan,poor,very popular,1,1,0,0,0,1,1,0,0,0,0,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,19.0,559937,10126,251972,98540.41012852485,335868.59502753214,nan_val,50.0,130.0,10126.0,208110.0,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.718024,-74.003903,101.0 category,1.0 category,33.0 category,SoHo-TriBeCa-Civic Center-Little Italy,poor,popular,1,1,0,1,1,0,0,0,0,1,1,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,10.0,1490979,68308,670941,98540.41012852485,335868.59502753214,nan_val,38.35627666741522,58.19472798653954,68308.0,626505.0,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.720382,-74.006039,101.0 category,1.0 category,33.0 category,SoHo-TriBeCa-Civic Center-Little Italy,poor,popular,1,1,0,1,1,1,1,0,0,1,1,0,0
R4,2,75.0,131.0,nan_val,11.0,357261,35876,160767,2450.0,2450.0,1017.0,38.35627666741522,58.19472798653954,35876.0,144765.0,2450.0,2450.0,2018/19,MANHATTAN,40.720404,-74.00544,101.0 category,1.0 category,33.0 category,SoHo-TriBeCa-Civic Center-Little Italy,poor,popular,0,0,0,0,0,1,1,0,0,0,0,0,0
R4,2,45.83709694359836,106.55358316896779,nan_val,31.0,617938,5775,278072,5775.0,278072.0,6800.0,38.35627666741522,58.19472798653954,5775.0,259880.0,5775.0,259880.0,2018/19,nan_val,40.693080212647615,-73.9964172329741,nan category,nan category,nan category,nan_val,poor,not popular,1,1,0,0,0,1,1,0,0,0,0,1,1
RB,4,197.0,296.0,nan_val,40.0,2940129,296256,1323058,98540.41012852485,335868.59502753214,nan_val,38.35627666741522,58.19472798653954,296256.0,1270445.0,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.702112,-74.011249,101.0 category,1.0 category,9.0 category,Battery Park City-Lower Manhattan,poor,popular,0,0,0,1,1,1,1,0,0,1,1,0,0
R1,2C,45.83709694359836,106.55358316896779,nan_val,6.0,585012,21084,184954,98540.41012852485,335868.59502753214,nan_val,38.35627666741522,58.19472798653954,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2018/19,MANHATTAN,40.713487,-74.008134,101.0 category,1.0 category,21.0 category,SoHo-TriBeCa-Civic Center-Little Italy,poor,not popular,1,1,0,1,1,1,1,1,1,1,1,0,0
